CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C134301,ZOLOF® 100MG,CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER DE PVC OPACO / ALUMINIO CON 10 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2023M-0001579-R3,19929758-6
C515545,BOSULIF® 500 MG TABLETAS RECUBIERTAS.,BOSUTINIB 500.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (BOSULIF) TABLETA 1.0000U / FRASCO X 30,INVIMA 2023M-0018068-R1,20112120-1
C585517,ESGRINIL® 801 MG TABLETAS RECUBIERTAS,CAJA POR 90 TABLETAS RECUBIERTAS EN BLISTER PVC-PCTFE (ACLAR) INCOLORO-ALUMINIO,INVIMA 2023M-0021137,20201017-1
C032841,TENOMUNE ®,CAJA PLEGADIZA CON FRASCO Y TAPA NO RESISTENTE A NIÑOS EN PEAD BLANCO POR 30 TABLETAS + INSERTO,INVIMA 2016M-0017315,20099714-1
C9991021,CLOTRIMAZOL TABLETAS VAGINALES 100 MG,CAJA POR 48 TABLETAS VAGINALES EN BLISTER ALUMINIO/PVC,INVIMA 2022M-0006437-R2,19967248-2
C9991041,FIXAMICIN® GOTAS OTICAS,CAJA PLEGADIZA CON UN FRASCO PEAD POR 15 ML.,INVIMA 2022M-0012611-R2,20033548-1
903579,GAVISCON® LIQUIDO SACHET SUSPENSION ORAL,CAJA XSIN DATO12 SACHET X 10 ML,INVIMA 2010M-0010778,20010745-6
C07321,SERETIDE® EVOHALER®25/250 MCG.,CAJA CON UN CARTUCHO INHALADOR METÁLICO CUBIERTO INTERNAMENTE CON FLUOROPOLIMERO. SELLADO CON VÁLVULA MEDIDORA DE POLIPROPOLENO. FIJADA A UN ACTUADOR DE POLIPROPILENO INCORPORANDO UN ORIFICIO ATOMIZADOR Y UNA TAPA. CONTENIENDO 120 DOSIS,INVIMA 2017M-0000089-R2,19913258-1
C630110,DESONIDA 0.05%,IUM 1D1040091000100 CAJA CON FRASCO BLANCO EN PEBD POR 120 ML.,INVIMA 2022M-004130-R3,53846-4
C620134,EYLIA® SOLUCIÓN PARA INYECCIÓN INTRAVÍTREA,CAJA POR 1 FRASCO VIAL EN VIDRIO TIPO I QUE CONTIENE 0.278 ML CON CONCENTRACIÓN DE 40MG/ML DE AFLIBERCEPT,INVIMA 2019M-0013274-R1,20039088-3
C02309,EUTIROX ® 25 MCG,CAJASIN DATODE CARTULINA CON 5O TABLETAS EN BLISTER ALUMINIO/ALUMINIO.,INVIMA 2019M-0007598-R1,19980015-9
C430142,TIROXIN 25 MCGTABLETAS,USO INSTITUCIONAL: CAJA POR 50 TABLETAS EN BLISTER PVC AMBAR /SIN DATOALUMINIO POR 10 TABLETAS CADA UNO.,INVIMA 2010M-0010646,20009747-4
C068152,FEMDUO®,CAJA PLEGADIZA CON 2 BLISTER PVDC/ ALUMINIO POR 5 OVULOS.,INVIMA 2021M-0017077-R1,20104109-3
285055,CONTRACTUBEX ® GEL,CAJA CON UN TUBO DE ALUMINIO CON RESINA INTERNA PROTECTORA Y TAPA DE PEAD X 20G,INVIMA 2019M-0000600-R2,19924352-2
C495155,OPHTHABRACIN-D UNGUENTO,2D1020001000100 CAJA CON UN TUBO COLPASIBLE DE ALUMINIO CON TAPA CONICA Y ROSCA DE PASO TIPO OBTURADA DE PEHD COLOR BLANCO POR 3.5 G,INVIMA 2020M-0019635,20148323-3
C395071,ESOPRAX ® 20MG CAPSULAS,(GENERICO) CAJA POR 100 CÁPSULAS EN BLISTER DE PVC/PVDC-ALUMINIO EN BOLSA SACHET,INVIMA 2019M-0002766-R2,19940078-17
C515370,MEDROL4 MG TABLETAS,CAJA PLEGADIZA X 50 TABLETAS EN EMPAQUE BLISTER PVC/ALUMINIO,INVIMA 2019M-002141-R4,34501-3
320046,DOMPERIX®,CAJA CON 1 FRASCO DE VIDRIO ÁMBAR X 100 ML DE SUSPENSIÓN ORAL. CON TAPA EN PP BLANCA.,INVIMA 2014M-0015065,20063705-1
C605244,EPIBALIN® 150 MG CAPSULAS,1P1008021002103: MARCA: CAJA POR 3 BLÍSTER ALU-PVC/PVDC POR 10 CÁPSULAS CADA BLÍSTER.,INVIMA 2016M-0016934,20093160-3
C0800022,MORFINA CLORHIDRATO 10 MG / ML,CAJA EN PROPALCOTE DE BAJA DENSIDAD 280 G POR 5 AMPOLLAS D POR 5 ML. AMPOLLA DE VIDRIO AMBAR TIPO I PIROGRABADA CON ARO DE ROTURA Y AROS DE SEGURIDAD,INVIMA 2020M-0010453-R1,20013906-2
C440010,OSTICALCIN® 70 MG TABLETAS RECUBIERTAS,CAJA X 100. CAJA POR 100 TABLETAS RECUBIERTAS EN 10 BLÍSTER ALUMINIO - PVC TRANSPARENTE POR 10 TABLETAS RECUBIERTAS CADA UNO.,INVIMA 2023M-0004640-R2,19951408-5
C340341,OCAM PROTECT® 7.5 TABLETAS DE LIBERACIÓN RETARDADA,CAJA POR 10 TABLETAS RECUBIERTAS EN BLISTER TRIFLEX II/ALUMINIO.,INVIMA 2022M-0012493-R2,20031866-3
C103423,LEVOCAPONE 150/37.5/200 TABLETA RECUBIERTA.,CAJA PLEGADIZA CON UN FRASCO HDPE BLANCO CON LINNER DE INDUCCIÓN DE ALUMINIO. TAPA BLANCA PP Y SILICA GEL POR 30 TABLETAS (IUM 2C1030941000100),INVIMA 2020M-0019539,20149322-1
C0231123,ERITROPOYETINA 4000 UI SOLUCIÓN INYECTABLE,CAJA DE CARTULINA POR 100 JERINGAS PRELLENADAS (VIDRIO TIPO I) POR 1 ML.SIN DATO,INVIMA 2023MBT-0009704-R1,20002042-13
C3000851,TENDIFU®,CAJA CON UN FRASCO DE PEAD BLANCO X 30 TABLETAS. CON TAPA BLANCA DE PP A PRUEBA DE NIÑOS CON LINNER. BOLSA DE SÍLICA GEL Y ALGODÓN.,INVIMA 2014M-0015141,20065186-1
C030251,PULMICORT® 0.5 MG / ML,CAJA CON SOBRE DE ALUMINIO X 5 AMPOLLAS DE PEBD X 2 ML.,INVIMA 2020 M-006817-R2,1980184-8
C104621,TRAMAL ® GOTAS,CAJA PLEGADIZA CONSIN DATOFRASCO DE VIDRIO AMBAR TIPOSIN DATOIII. CON CUENTA GOTAS DE POLIETILENO DE BAJA DENSIDAD Y TAPA BLANCA DE POLIPROPILENO (EXTERNO)SIN DATOY POLIETILENO (INTERNO) POR 10ML,INVIMA 2014M-007195-R3,19513-2
C033108,VORIX® 1.0 MG,CAJA POR 30 TABLETAS RECUBIERTAS. EN BLÍSTER ALU-ALU/PAPEL ALUMINIO POR 10 TABLETAS RECUBIERTAS.,INVIMA 2017M-0017676,20109429-1
C00529,CETIRIZINATABLETASRECUBIERTAS X 10 MG,CAJA POR 400 TABLETAS EN BLISTER PVC TRANSPARENTE/ALUMINIO POR 10 TABLETAS,INVIMA 2009M-0009249,19992435-7
C0800021,MORFINA CLORHIDRATO 10 MG / ML,CAJA POR 10 AMPOLLAS POR 1 ML AMPOLLA AMBAR DE VIDRIO TIPO I PRABADO AMARILLO CON AROS DE SEGURIDAD VERDE Y ROJO,INVIMA 2020M-0010453-R1,20013906-1
C812391,AVAXIM® 80U PEDIATRICO,CAJA POR UNA JERINGA PRELLENADA UNIDOSIS (VIDRIO INCOLORO TIPO I. TAPON EMBOLO CLOROBROMOBUTILO O TAPÓN-ÉMBOLO ALTERNATIVO DE CLOROBUTILO),INVIMA 2022MB-0003240-R2,19939796-1
C582247,ONDASETRON 8MG/4ML,CAJA POR 10 AMPOLLAS DE VIDRIO TIPO I POR 4 ML CADA AMPOLLA,INVIMA 2020M-0010649-R1,20010204-1
C341005,ALCOHOL POLIVINILICO 1.4% SOLUCION OFTALMICA,CAJA PLEGADIZA CON UN FRASCO GOTERO DE PEBD BLANCO. SUBTAPA DE PEBD Y TAPA DE SEGURIDAD DE PP BLANCO. POR 15 ML DE SOLUCION OFTALMICA.,INVIMA 2023M-0002687-R2,19938746-1
C250936,METRINELLE ® 2 MG COMPRIMIDOS,COMERCIAL - CAJA PLEGADIZA CON UN BLÍSTER DE PVC-PVDC / ALUMINIO POR 28 TABLETAS. BLÍSTER CON PORTABLISTER.,INVIMA 2020M-0016006-R1,20080146-1
C060925,NORDIXATE®,CAJA CON UNA JERINGA PRELLENADA DE 0.8 ML QUE CONTIENE 20 MG DE METOTREXATO. AGUJA INTEGRADA Y ENSAMBLADA. EMPACADA EN BLÍSTER INDIVIDUAL. NUMERO IUM 1M1005531008106 METOTREXATO 25.0 MG OTRAS SOLUCIONES SUBCUTANEA (NORDIXATE) JERINGA 0.80ML / CAJA X 1,INVIMA 2021M-0020363,20173957-4
